"Channel","Programmes","Source","Tried"
"StarzEncoreClassic.us","39","tvguide.com (STARZ ENCORE Classic)","tvguide.com=39, ontvtonight.com=28, tvtv.us=0"
"StarzEncoreFamily.us","43","tvguide.com (STARZ ENCORE Family)","tvpassport.com=34, tvguide.com=43, ontvtonight.com=34"
"StarzEncoreSpanish.us","32","ontvtonight.com (STARZ ENCORE Español)","ontvtonight.com=32"
"StarzEncoreSuspense.us","40","tvguide.com (STARZ ENCORE Suspense)","tvpassport.com=30, tvguide.com=40, ontvtonight.com=30"
"StarzEncoreWesterns.us","40","tvpassport.com (Starz Encore Westerns - Eastern)","tvpassport.com=40, tvguide.com=50, ontvtonight.com=40"
"StarzInBlack.us","44","tvguide.com (STARZ InBlack)","tvpassport.com=16, tvguide.com=44, ontvtonight.com=35"
"StarzKidsFamily.us","43","tvguide.com (STARZ Kids & Family)","tvpassport.com=33, tvguide.com=43, tvtv.us=0"
"SYFY.us","40","tvguide.com (Syfy)","tvpassport.com=29, tvguide.com=40, tvtv.us=0"
"TBS.us","54","tvpassport.com (TBS - East HD)","tvpassport.com=54, tvguide.com=63, ontvtonight.com=54"
"TennisChannel.us","23","tvguide.com (The Tennis)","tvpassport.com=12, tvguide.com=23, tvtv.us=0"
"TheCW.us","33","tvguide.com (CW Network National)","tvguide.com=33"
"TheCWPlus.us","0","","tvtv.us=0"
"TheMovieChannel.us","38","tvguide.com (The Movie)","tvguide.com=38, tvtv.us=0"
"TheMovieChannelXtra.us","36","tvguide.com (The Movie Xtra)","tvguide.com=36, tvtv.us=0"
"TLC.us","54","tvguide.com (TLC)","tvpassport.com=43, tvguide.com=54, tvtv.us=0"
"TNT.us","46","tvguide.com (TNT)","tvpassport.com=34, tvguide.com=46, tvtv.us=0"
"TravelChannel.us","64","tvguide.com (Travel)","tvguide.com=64, tvtv.us=0"
"TSN1.ca","35","tvpassport.com (TSN1)","tvpassport.com=35, tvtv.us=0"
"TSN2.ca","36","tvpassport.com (TSN2)","tvpassport.com=36, tvtv.us=0"
"TSN3.ca","33","tvpassport.com (TSN3)","tvpassport.com=33, tvtv.us=0"
"TSN4.ca","39","tvpassport.com (TSN4)","tvpassport.com=39, tvtv.us=0"
"TSN5.ca","37","tvpassport.com (TSN5)","tvpassport.com=37, tvtv.us=0"
"USANetwork.us","55","tvguide.com (USA)","tvguide.com=55, tvtv.us=0"
"WNetwork.ca","25","ontvtonight.com (W Network (East))","ontvtonight.com=25"
